INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY,COEFFICIENT_A,COEFFICIENT_B
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,11.0806094846269,1980.731909896733
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,5.170325767529133,1777.2835322147387
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,5.996611606399383,2152.536585034821
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,15.207265256036763,2152.142355462698
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,7.5255813024001315,1861.3089258920575
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,8.648606482587075,2103.517233425597
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,10.801684756775142,2417.2388729060945
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,7.222819042186033,1800.0815513505624
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,7.953426805991002,2193.3597326534914
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,20.627390302133694,2309.6481160350936
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,8.132988759645537,1722.0190001473536
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,11.225677601141097,2093.0402380378987
