Input Memory,Output Memory,Input Datatype,Num Tiles,Mean Duration [ns],Std Dev Duration [ns],Std Dev/Mean
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,5,1897.1,9.66902270139025,0.005096738549043409
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,20,2198.6,25.176179217665254,0.01145100482928466
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,200,3735.3,97.77939455734015,0.026177119523824097
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,500,8107.1,153.22366005287824,0.018899934631727528
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,3000,34906.3,726.6860463776637,0.02081819174125197
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,4000,47508.7,1118.223595708837,0.023537238352319405
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,7000,79961.9,1430.477504192219,0.017889488671382483
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,9000,99694.0,657.184601158609,0.006592017585397406
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,11000,121999.3,1823.5938720011097,0.01494757651889076
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,5,2084.7,20.00524931111832,0.009596224546034595
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,20,2282.9,30.111293562382873,0.013189931036130743
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,200,4772.7,100.96043779619816,0.021153736416744853
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,500,9027.9,115.41269427580313,0.012784002290211803
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,3000,34011.2,1144.459592995751,0.03364949172612996
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,4000,46236.2,697.3528231820676,0.015082399141410142
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,7000,74279.5,1186.8901591975562,0.01597870420772294
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,9000,98224.5,1358.5783194207097,0.013831358972768604
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT16,11000,124374.2,3267.570620506923,0.02627209357332086
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,5,1990.8,52.25858781100002,0.026250044108398644
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,20,2333.7,24.730750089716246,0.010597227616967153
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,200,5671.7,152.63423600228094,0.026911549623971815
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,500,10464.1,314.9985555522438,0.030102785289919224
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,3000,46934.0,1382.3954571684617,0.029454030280147904
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,4000,61533.0,1880.4159646205942,0.030559471578187218
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,7000,108904.7,2409.257398037827,0.022122620952427462
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,9000,136685.9,2288.140312568266,0.01674013422429282
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,11000,166665.8,2609.5827942412557,0.015657578184854096
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,5,2322.9,76.0426853813041,0.032736099436611175
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,20,2555.0,74.52516353554684,0.029168361462053555
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,200,6423.3,286.9048797075435,0.0446662742994323
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,500,13868.8,415.05536980022316,0.029927273433910877
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,3000,59590.7,369.6963754217777,0.006203927381651461
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,4000,82055.1,581.1611566510618,0.007082572035754776
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,7000,139934.1,2956.5430979439484,0.021128110288656934
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,9000,183343.4,1921.3075859944965,0.010479284152003818
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT16,11000,221648.1,2279.3614654108724,0.01028369503465571
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,5,1613.3,13.856767299770894,0.00858908281148633
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,20,1764.7,9.623408959407262,0.005453283254608298
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,200,2776.9,19.398195792392656,0.00698555792156457
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,500,4396.7,48.807888706642494,0.011101027749594582
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,3000,17353.8,66.69902548013727,0.003843482434978925
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,4000,22382.9,63.58057879572976,0.0028405871802013928
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,7000,38118.6,113.57129919130097,0.0029794194747787424
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,9000,48303.3,58.916975482453275,0.00121972982140875
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,11000,58697.3,92.07936793875163,0.0015687155616825924
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,5,1748.0,45.83012109955635,0.02621860474802995
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,20,1851.5,15.428869044748549,0.008333172586955737
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,200,3127.1,55.99187441048924,0.01790536740446076
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,500,5508.6,48.88189849013641,0.008873742600685547
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,3000,22900.2,237.47580929433633,0.010370032108642558
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,4000,30093.2,124.40562688238825,0.004134011234511061
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,7000,51584.6,354.6294404022317,0.006874715329812225
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,9000,65958.9,461.78987645897996,0.007001176133303921
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT4_B,11000,80045.3,322.79902416209376,0.004032704283225795
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,5,1758.3,47.282237679703776,0.026890881919867927
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,20,1894.3,51.345983289834855,0.027105518286351084
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,200,3331.0,55.54637701956807,0.016675586016081677
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,500,5801.3,58.23066202611817,0.010037519525988687
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,3000,23911.6,138.14137685718933,0.005777169945013689
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,4000,31659.5,134.565411603428,0.004250395982356892
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,7000,54548.1,321.47735534559814,0.005893465681583742
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,9000,68887.0,228.58258901324922,0.0033182253402419793
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,11000,83839.6,275.6095789336793,0.003287343676898259
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,5,1869.0,18.127327436773463,0.009698944588963865
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,20,1998.9,34.949821172646935,0.017484527076215384
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,200,3552.9,80.22025928654182,0.02257881147415965
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,500,6011.9,69.81898022744245,0.011613463335624753
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,3000,25578.0,141.52738250953416,0.005533168445911884
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,4000,34179.0,311.18194035001454,0.009104477613447279
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,7000,58587.3,269.7751100453858,0.004604668760045024
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,9000,73880.1,353.0927498547655,0.004779267351489311
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT4_B,11000,89547.2,400.0641948487767,0.004467634888067709
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,5,1702.3,6.870953354520754,0.004036276422793136
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,20,1898.1,8.757282683572571,0.00461370985910783
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,200,3063.3,39.30661521932409,0.01283146124092452
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,500,5365.7,117.66482057097609,0.021929071802556255
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,3000,20098.4,348.6766983897834,0.017348480395941137
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,4000,26877.7,318.35861854204603,0.011844712104906521
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,7000,44100.0,406.15317307636536,0.009209822518738444
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,9000,56397.5,414.5622389943397,0.0073507201382036385
L1_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,11000,68751.6,668.793421020273,0.009727677916154285
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,5,1856.3,36.780565520394056,0.019813912363515627
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,20,1969.5,23.69493616788195,0.01203093991768568
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,200,3586.9,24.172091345185674,0.006738992262172258
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,500,6503.2,82.47642087287736,0.012682436473255837
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,3000,25078.4,147.70524702934557,0.005889739657607565
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,4000,33318.6,282.48617665294705,0.008478332722651824
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,7000,56462.0,226.71744529259323,0.00401539876895245
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,9000,72379.4,314.64812092240436,0.004347205433070796
DRAM_INTERLEAVED,L1_INTERLEAVED,BFLOAT8_B,11000,88087.3,291.9952225636577,0.003314839058112324
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,5,1813.6,22.83068111117143,0.012588597877796334
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,20,2059.4,56.01464094323912,0.027199495456559735
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,200,3823.1,48.78616607195117,0.012760891965146393
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,500,7095.8,80.28798166600029,0.011314859729135585
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,3000,27417.1,284.5422464239713,0.010378276565500045
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,4000,36542.3,404.27516619253277,0.011063210750076834
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,7000,61232.4,385.82436418660757,0.006300983861266382
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,9000,79050.6,643.4872492909242,0.008140194372856424
L1_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,11000,96532.2,625.6947818225752,0.006481720936874693
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,5,2073.4,74.83876001110654,0.036094704355699114
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,20,2168.2,47.524309568893266,0.021918784968588356
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,200,4166.8,79.0718660460217,0.018976640598546052
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,500,7838.1,118.0723930476553,0.015063904906502251
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,3000,34252.8,191.93738562354133,0.0056035531583853385
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,4000,46893.3,253.1185690541095,0.005397755522731595
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,7000,79189.1,341.51001449445084,0.0043125886579649325
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,9000,101181.1,602.9415311620191,0.005959033170839407
DRAM_INTERLEAVED,DRAM_INTERLEAVED,BFLOAT8_B,11000,123586.3,623.4892220399644,0.005044970373253058
